customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-1000,Male,0,Yes,No,18,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,68.6,1229.9,No
CUST-1001,Female,1,No,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,373.17,Yes
CUST-1002,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,104.84,1059.64,No
CUST-1003,Male,0,No,No,39,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),87.71,3406.07,No
CUST-1004,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),109.97,1861.72,No
CUST-1005,Female,0,No,Yes,2,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,57.03,118.4,No
CUST-1006,Male,0,No,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,76.29,225.67,Yes
CUST-1007,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Mailed check,96.29,1750.85,No
CUST-1008,Male,1,Yes,No,66,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,52.6,3489.94,No
CUST-1009,Female,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.34,602.82,Yes
CUST-1010,Male,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),88.46,4247.64,Yes
CUST-1011,Male,0,No,No,34,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,76.51,2610.33,No
CUST-1012,Male,0,No,No,6,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,57.7,344.49,No
CUST-1013,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),89.34,0.0,Yes
CUST-1014,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),75.51,160.9,No
CUST-1015,Male,0,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.86,749.17,No
CUST-1016,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.87,114.15,No
CUST-1017,Female,1,No,No,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,86.67,966.69,Yes
CUST-1018,Female,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,79.08,1269.83,Yes
CUST-1019,Male,0,No,Yes,31,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,102.67,3172.22,No
CUST-1020,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,99.41,204.9,Yes
CUST-1021,Male,1,Yes,No,12,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.88,707.9,No
CUST-1022,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,85.53,1273.56,No
CUST-1023,Female,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),101.62,1843.08,No
CUST-1024,Female,0,No,No,40,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,57.54,2318.78,No
CUST-1025,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,105.35,411.68,Yes
CUST-1026,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.54,1052.18,No
CUST-1027,Female,0,No,No,28,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,76.55,2132.95,No
CUST-1028,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.69,1517.8,Yes
CUST-1029,Female,0,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,34.94,960.65,No
CUST-1030,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Mailed check,99.16,1179.6,Yes
CUST-1031,Male,0,Yes,No,3,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),69.97,205.32,No
CUST-1032,Female,0,Yes,Yes,26,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Mailed check,55.77,1467.12,No
CUST-1033,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.61,1700.06,No
